x,y
-5,0.334618499971228
-4.99,0.9743959805801657
-4.98,0.4611668763198975
-4.97,0.18675561253426753
-4.96,1.2308795415159557
-4.95,0.7614954461155815
-4.94,1.0231529930709855
-4.93,0.4390009996181818
-4.92,0.6858338931798004
-4.91,0.8384548577714002
-4.9,1.0482486931608157
-4.89,0.8132914716666767
-4.88,1.122222582572768
-4.87,0.8160675316719066
-4.86,0.9089100371653641
-4.85,1.1190624077103013
-4.84,0.9606861406122615
-4.83,0.8089715955713599
-4.82,0.6119763731555627
-4.81,0.822331400659726
-4.8,0.6120626127604927
-4.79,0.9855002742618149
-4.78,0.31696356661748354
-4.77,0.36487302918021963
-4.76,0.30034462552098007
-4.75,0.04240152618796289
-4.74,0.4493359895162895
-4.73,0.6445040708781539
-4.72,0.349654967204891
-4.71,0.6031421246476653
-4.7,0.05438868505048533
-4.69,0.4468426856714832
-4.68,0.3730802810705679
-4.67,0.6451786306966648
-4.66,0.6549280160105974
-4.65,0.5380183128904874
-4.64,0.5306849177065435
-4.63,0.6187059108829347
-4.62,0.4320144357346649
-4.61,0.4278612319386182
-4.6,0.27249520830165375
-4.59,0.1860154546466079
-4.58,-0.2992119781247636
-4.57,0.21981120901858375
-4.56,0.910080569693061
-4.55,0.7512308950757183
-4.54,0.766921421650819
-4.53,0.20636313567719033
-4.52,0.7215421802231328
-4.51,0.11573574889904614
-4.5,0.8896091322063704
-4.49,0.8419779258017245
-4.48,0.11059651895468697
-4.47,0.19005237704397715
-4.46,0.4160678379555975
-4.45,0.2052019668561678
-4.4399999999999995,0.8452639713562428
-4.43,0.0664826003107481
-4.42,0.5051143174857649
-4.41,0.5224133987186967
-4.4,0.24516198838056255
-4.39,0.6849934049074222
-4.38,-0.20599962771748048
-4.37,0.30051141788992036
-4.36,0.4111709361728292
-4.35,0.06136734194978605
-4.34,0.1430601502962077
-4.33,-0.17959641062671666
-4.32,0.2967005095960486
-4.31,0.4199382167859966
-4.3,0.9714063781222945
-4.29,0.4548393451667375
-4.28,0.5172809869340549
-4.27,-0.27046988968839436
-4.26,-0.010544708733850439
-4.25,0.3337732552242564
-4.24,0.11199704239918881
-4.23,1.0190507273131038
-4.22,-0.40592206193021374
-4.21,0.12879034070060086
-4.2,0.18863353617784245
-4.1899999999999995,-0.042554696111057694
-4.18,-0.018599590837590912
-4.17,0.1943056644877501
-4.16,0.06574680296200981
-4.15,0.41121801933282154
-4.14,-0.15643202012834811
-4.13,-0.04934916647784793
-4.12,0.04276028961250532
-4.11,0.7246016385957528
-4.1,-0.13741377286981335
-4.09,0.06110879809135379
-4.08,-0.3051515910649788
-4.07,0.34249271057026276
-4.06,0.1708956978527564
-4.05,0.3107182463417983
-4.04,0.37445617116852553
-4.03,0.06880402103240042
-4.02,0.1901462571430394
-4.01,0.09308968374416103
-4,0.037147323828360335
-3.99,0.12538464839626062
-3.98,-0.3051374860421784
-3.9699999999999998,-0.018166687608051756
-3.96,0.3233103391493286
-3.95,0.471988619203904
-3.94,-0.0962488969711632
-3.9299999999999997,-0.10848357772704685
-3.92,0.30143621392512865
-3.91,0.2106038301444412
-3.9,-0.030164616715645284
-3.8899999999999997,-0.2826861329467822
-3.88,0.26330461621521295
-3.87,-0.2050989204728414
-3.86,-0.2644411858811724
-3.8499999999999996,0.0012128273975776996
-3.84,0.15826405304367547
-3.83,0.07239073058393768
-3.8200000000000003,-0.4703165648350522
-3.81,0.323342300685149
-3.8,-0.10799817188602014
-3.79,0.07384169200108898
-3.7800000000000002,-0.027861134753569813
-3.77,-0.24686587356854237
-3.76,-0.08163062560260151
-3.75,-0.4446475339062994
-3.74,-0.12824073322813653
-3.73,-0.021089908617738157
-3.7199999999999998,0.32672985767112983
-3.71,-0.17442687931729303
-3.7,0.045630101596583234
-3.69,-0.343356994601169
-3.6799999999999997,-0.49303167208636733
-3.67,0.40207608147126006
-3.66,-0.44639248021335676
-3.65,-0.22213719500859547
-3.6399999999999997,-0.2806210915862474
-3.63,-0.29445690616886755
-3.62,-0.14021104765477502
-3.61,-0.6954364101924947
-3.5999999999999996,0.0220185084013097
-3.59,0.206795576485445
-3.58,-0.05277546447261963
-3.5700000000000003,-0.22050562599288492
-3.56,-0.742003639138823
-3.55,-0.37461734502274235
-3.54,-0.7039756324995121
-3.5300000000000002,-0.7034358759499224
-3.52,-0.38186956789445775
-3.51,-0.4378826405195777
-3.5,-0.9141212694900755
-3.49,-0.3460947294985652
-3.48,-0.8121826860639323
-3.4699999999999998,-0.784318345587548
-3.46,-0.28236623075099015
-3.45,-0.2463536125971204
-3.44,-0.6120870552717432
-3.4299999999999997,-0.5524026569760444
-3.42,-0.20862536987981029
